Name,Yrs,From,To,ASG,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,WAR,Birthdate,Debut,Birthplace,Pos
Luis Sardiñas,5,2014,2018,0,182,500,459,50,103,12,2,5,32,10,3,29,110,.224,.274,.292,.566,-1.30,"May 16, 1993","Apr 20, 2014","Upata, Bolivar",64H/5D317
Manny Sarmiento,7,1976,1983,0,220,104,87,2,9,0,0,0,4,0,0,4,27,.103,.152,.103,.256,3.57,"Feb 2, 1956","Jul 30, 1976","Cagua, Aragua",1/H
Marco Scutaro,13,2002,2014,1,1391,5486,4887,683,1355,269,21,77,509,55,22,474,570,.277,.341,.388,.729,22.08,"Oct 30, 1975","Jul 21, 2002","San Felipe, Yaracuy",*6*45H/7D93
Antonio Senzatela,7,2017,2023,0,106,165,135,5,9,2,0,0,12,0,0,1,76,.067,.074,.081,.155,6.19,"Jan 21, 1995","Apr 6, 2017","Valencia, Carabobo",1
Alex Serrano,1,2008,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.05,"Feb 18, 1981","Apr 16, 2008","Barcelona, Anzoategui",/1
Carlos Silva,9,2002,2010,0,154,71,58,0,5,2,0,0,3,0,0,4,22,.086,.145,.121,.266,8.54,"Apr 23, 1979","Apr 1, 2002","Bolivar, Bolivar",*1
Miguel Socolovich,5,2012,2018,0,64,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.06,"Jul 24, 1986","Jul 14, 2012","Caracas, Distrito Federal",1
Luis Sojo,13,1990,2003,0,848,2773,2571,300,671,103,12,36,261,28,20,124,198,.261,.297,.352,.650,4.16,"Jan 3, 1965","Jul 14, 1990","Caracas, Distrito Federal",*465H3/D7
Yangervis Solarte,6,2014,2019,0,670,2645,2407,282,620,124,6,75,307,6,5,189,326,.258,.315,.408,.723,6.86,"Jul 3, 1987","Apr 2, 2014","Valencia, Carabobo",*54H63/7D
Lenyn Sosa,3,2022,2024,0,80,265,250,18,48,9,0,8,19,0,1,9,68,.192,.222,.324,.546,-1.46,"Jan 25, 2000","Jun 23, 2022","Puerto Ordaz, Bolivar",4/5H6D
Livan Soto,2,2022,2023,0,22,71,64,11,24,5,1,1,9,1,1,5,15,.375,.414,.531,.946,0.88,"Jun 22, 2000","Sep 17, 2022","Valencia, Carabobo",/645H
Les Straker,2,1987,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,3.03,"Oct 10, 1959","Apr 11, 1987","Ciudad Bolivar, Bolivar",1
Albert Suárez,3,2016,2024,0,38,26,23,1,4,2,0,0,2,0,0,0,11,.174,.174,.261,.435,1.82,"Oct 8, 1989","May 8, 2016","San Felix, Bolivar",1
Eugenio Suárez,11,2014,2024,1,1374,5570,4875,673,1197,216,14,250,757,32,18,553,1512,.246,.330,.449,.779,20.24,"Jul 18, 1991","Jun 4, 2014","Puerto Ordaz, Bolivar",*56H/D
José Suarez,6,2019,2024,0,2,3,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0.17,"Jan 3, 1998","Jun 2, 2019","Naguanagua, Carabobo",1
Ranger Suárez,7,2018,2024,0,73,34,26,2,5,2,1,0,1,0,0,1,9,.192,.250,.346,.596,13.48,"Aug 26, 1995","Jul 26, 2018","Pie de Cuesta, Lara",1
Robert Suarez,3,2022,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,3.28,"Mar 1, 1991","Apr 7, 2022","Bolivar, Bolivar",1
Jesús Sucre,7,2013,2019,0,243,721,659,50,146,23,0,10,69,3,0,30,121,.222,.260,.302,.562,-0.53,"Apr 30, 1988","May 24, 2013","Cumana, Sucre",2/1H3D
José Tábata,6,2010,2015,0,509,1765,1592,208,438,81,15,17,126,47,30,129,254,.275,.336,.377,.713,1.88,"Aug 12, 1988","Jun 9, 2010","El Tigre, Anzoategui",79H/8D
Tomás Telis,5,2014,2018,0,122,267,252,25,58,8,3,1,24,0,0,7,34,.230,.267,.298,.565,-0.53,"Jun 18, 1991","Aug 25, 2014","El Tigre, Anzoategui",H23/D
Jesús Tinoco,5,2019,2024,0,23,6,5,1,1,0,0,0,0,0,0,0,4,.200,.200,.200,.400,0.45,"Apr 30, 1995","May 31, 2019",San Antonio de Maturin,1
Carlos Tocci,1,2018,2018,0,66,135,120,11,27,3,2,0,5,0,3,7,39,.225,.271,.283,.555,-1.56,"Aug 23, 1995","Mar 31, 2018","Maracay, Aragua",8/H97D1
Pablo Torrealba,5,1975,1979,0,43,5,5,0,1,0,0,0,0,0,0,0,1,.200,.200,.200,.400,3.29,"Apr 28, 1948","Apr 9, 1975","Barquisimeto, Lara",1
Steve Torrealba,2,2001,2002,0,15,23,19,1,2,0,0,0,1,0,0,3,4,.105,.227,.105,.333,-0.30,"Feb 24, 1978","Oct 6, 2001","Barquisimeto, Lara",/2H
Yorvit Torrealba,13,2001,2013,0,907,3183,2875,306,737,162,12,56,339,19,17,222,544,.256,.315,.379,.694,5.42,"Jul 19, 1978","Sep 5, 2001","Caracas, Distrito Federal",*2H/D37
Luis Torrens,7,2017,2024,0,273,818,742,70,169,31,3,21,83,0,0,63,212,.228,.290,.363,.652,-0.02,"May 2, 1996","Apr 3, 2017","Valencia, Carabobo",2DH/34517
Alex Torres,4,2011,2015,0,106,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,1.99,"Dec 8, 1987","Jul 18, 2011","Valencia, Carabobo",1
Dilson Torres,1,1995,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.18,"May 31, 1970","Apr 29, 1995","Maracay, Aragua",/1
Eider Torres,1,2008,2008,0,8,9,9,2,2,0,0,0,0,0,0,0,2,.222,.222,.222,.444,-0.17,"Jan 16, 1983","Apr 26, 2008","Maracaibo, Zulia",/6DH4
Gleyber Torres,7,2018,2024,2,797,3266,2923,407,772,138,4,128,397,53,22,292,672,.264,.332,.445,.778,14.67,"Dec 13, 1996","Apr 22, 2018","Caracas, Distrito Federal",*46/DH
José Torres,2,2016,2017,0,61,1,1,1,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.64,"Sep 24, 1993","Sep 22, 2016","Caracas, Distrito Federal",1
Ronald Torreyes,7,2015,2021,0,351,983,917,99,243,41,7,11,98,7,2,43,124,.265,.299,.361,.660,1.47,"Sep 2, 1992","Sep 13, 2015","Libertador, Distrito Federal",564H/D9817
César Tovar,12,1965,1976,0,1488,6177,5569,834,1546,253,55,46,435,226,108,413,410,.278,.335,.368,.703,28.27,"Jul 3, 1940","Apr 12, 1965","Caracas, Distrito Federal",*8*7549HD6/321
Ezequiel Tovar,3,2022,2024,0,222,919,867,113,228,57,5,24,99,15,7,37,254,.263,.296,.423,.720,4.45,"Aug 1, 2001","Sep 23, 2022","Maracay, Aragua",6
Wilfredo Tovar,4,2013,2021,0,46,122,112,6,21,5,0,0,8,1,0,7,22,.188,.242,.232,.474,-0.31,"Aug 11, 1991","Sep 22, 2013","Santa Teresa, Miranda",6/H4
Manny Trillo,17,1973,1989,4,1780,6573,5950,598,1562,239,33,61,571,56,57,452,742,.263,.316,.345,.660,11.27,"Dec 25, 1950","Jun 28, 1973","Caripito, Monagas",*45H3/6
Luis Ugueto,2,2002,2003,0,74,31,28,23,6,0,0,1,2,10,4,3,8,.214,.290,.321,.612,0.06,"Feb 15, 1979","Apr 3, 2002","Caracas, Distrito Federal",H/D465
Ugueth Urbina,11,1995,2005,2,382,60,53,3,5,0,0,0,1,0,0,3,32,.094,.143,.094,.237,13.18,"Feb 15, 1974","May 9, 1995","Caracas, Distrito Federal",*1
Lino Urdaneta,2,2004,2007,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.03,"Nov 20, 1979","Sep 9, 2004","Caracas, Distrito Federal",/1
Luis Valbuena,11,2008,2018,0,1011,3571,3148,377,710,169,9,114,367,11,16,374,788,.226,.310,.394,.703,8.51,"Nov 30, 1985","Sep 2, 2008","Caja Seca, Zulia",*543H6/D7
Carlos Valderrama,1,2003,2003,0,7,7,7,0,1,0,0,0,0,1,0,0,3,.143,.143,.143,.286,-0.01,"Nov 30, 1977","Jun 21, 2003","Bachaquero, Zulia",/78HD
Breyvic Valera,4,2017,2021,0,93,235,208,25,49,8,2,2,29,2,0,20,32,.236,.302,.322,.624,-0.34,"Jan 8, 1992","Sep 5, 2017","Montalban, Carabobo",4H/56D9
Ildemaro Vargas,8,2017,2024,0,365,1021,948,108,237,50,6,16,105,12,5,58,114,.250,.295,.366,.661,2.71,"Jul 16, 1991","Jun 29, 2017","Caripito, Monagas",54H6/7319D
Felipe Vazquez,5,2015,2019,2,298,4,4,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,8.24,"Jul 5, 1991","Apr 17, 2015","San Felipe, Yaracuy",*1
Jorge Velandia,8,1997,2008,0,174,278,244,21,46,12,1,2,23,2,0,26,66,.189,.274,.270,.544,-0.03,"Jan 12, 1975","Jun 20, 1997","Caracas, Distrito Federal",46H/5D
Engelb Vielma,1,2018,2018,0,6,8,7,1,1,0,0,0,0,0,0,1,4,.143,.250,.143,.393,-0.02,"Jun 22, 1994","Apr 13, 2018","Maracaibo, Zulia",/46
Eduardo Villacis,1,2004,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.19,"Aug 29, 1979","May 1, 2004","Caracas, Distrito Federal",/1
Brayan Villarreal,3,2011,2013,0,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.14,"May 10, 1987","Apr 2, 2011","La Guaira, La Guaira",1
Omar Vizquel,24,1989,2012,3,2968,12013,10586,1445,2877,456,77,80,951,404,167,1028,1087,.272,.336,.352,.688,45.58,"Apr 24, 1967","Apr 3, 1989","Caracas, Distrito Federal",*65H4/D379
Miguel Yajure,3,2020,2022,0,3,3,3,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-1.25,"May 1, 1998","Aug 31, 2020","Cabimas, Zulia",/1
Juan Yepez,2,2022,2023,0,104,339,313,32,75,14,0,14,32,0,1,20,81,.240,.286,.419,.705,-0.39,"Feb 19, 1998","May 4, 2022","Caracas, Distrito Federal",7D/9H35
Carlos Zambrano,12,2001,2012,3,365,744,693,75,165,26,3,24,71,1,0,10,240,.238,.248,.388,.636,43.87,"Jun 1, 1981","Aug 20, 2001","Puerto Cabello, Carabobo",*1H
Eddie Zambrano,2,1993,1994,0,75,151,133,18,35,7,0,6,20,2,1,17,32,.263,.351,.451,.802,0.69,"Feb 1, 1966","Sep 19, 1993","Maracaibo, Zulia",H/9375
Víctor Zambrano,7,2001,2007,0,49,82,73,3,9,1,1,0,3,0,0,0,28,.123,.135,.164,.300,5.07,"Aug 6, 1975","Jun 21, 2001","Los Teques, Miranda",1
Mauro Zárate,1,2007,2007,0,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.15,"Feb 8, 1983","Aug 7, 2007","Valencia, Carabobo",/1
Angel Zerpa,4,2021,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1.40,"Sep 27, 1999","Sep 30, 2021","Valle de la Pascua, Guarico",1
